S&P 500 Index,"2,786.57",2018-03-10 02:05:02.410674
Dow Jones Industrial Average,"25,335.74",2018-03-10 02:10:38.337972
S&P 500 Index,"2,786.57",2018-03-10 02:13:50.577334
